mean_std_ratio,N50,contrast,image
6.7018013,0,0.5845543,rs931001n00
6.3739033,0,0.59032226,rs931002n00
8.333049,0,0.21157329,rs931003n00
7.1814184,0,0.46795693,rs931004n00
3.4585528,0,0.6057926,rs931005n00
2.1368864,0,0.8000879,rs931006n00
19.773115,0,0.16874732,rs931007n00
11.505491,0,0.2006376,rs931008n00
5.9836316,0,0.3313154,rs931009n00
12.205855,0,0.23534843,rs931010n00
40.163155,0,0.07938859,rs931011n00
32.78111,0,0.09412984,rs931012n00
13.770308,0,0.2621868,rs931013n00
11.84108,0,0.24948047,rs931014n00
13.012227,0,0.2151453,rs931015n00
4.75249,0,0.4436392,rs931016n00
20.500551,0,0.14818838,rs931017n00
6.8176093,0,0.31649894,rs931018n00
3.6374311,0,0.56058294,rs931019n00
4.82261,0,0.3886252,rs931020n00
10.030933,0,0.3056142,rs931021n00
16.496098,0,0.18060786,rs931022n00
8.289529,0,0.3604733,rs931023n00
8.820473,0,0.39964125,rs931024n00
5.6712303,0,0.4016769,rs931025n00
5.4032373,0,0.54261905,rs931026n00
8.462743,0,0.4389478,rs931027n00
20.25727,0,0.15470277,rs931028n00
28.252075,0,0.12273428,rs931029n00
18.348454,0,0.26616174,rs931030n00
6.8984957,0,0.35627806,rs931031n00
12.093378,0,0.27329603,rs931032n00
7.3932934,0,0.28904977,rs931033n00
4.3352485,0,0.39420888,rs931034n00
4.1807756,0,0.58065605,rs931035n00
5.3037386,0,0.4982852,rs931036n00
4.9541216,0,0.39135048,rs931037n00
12.879873,0,0.2929153,rs931038n00
17.01383,0,0.14698261,rs931039n00
12.363593,0,0.22107734,rs931040n00
9.445212,0,0.34995058,rs931041n00
5.545431,0,0.4193143,rs931042n00
9.233468,0,0.35875267,rs931043n00
6.9942966,0,0.43397295,rs931044n00
10.777691,0,0.2918449,rs931045n00
7.807925,0,0.34409416,rs931046n00
7.9271374,0,0.3211701,rs931047n00
12.064511,0,0.25356746,rs931048n00
21.145811,0,0.19489466,rs931049n00
10.662737,0,0.30775064,rs931050n00
3.5598745,0,0.46643397,rs931051n00
6.3391476,0,0.61048853,rs931052n00
6.495275,0,0.5655519,rs931101n00
5.4320574,0,0.58446765,rs931102n00
19.165956,0,0.17142144,rs931103n00
12.144573,0,0.17750427,rs931104n00
3.1760025,0,0.6757614,rs931105n00
2.8226838,0,0.7299966,rs931106n00
2.1610239,255,0.87101007,rs931107n00
41.21121,0,0.1263621,rs931108n00
8.86556,0,0.28299302,rs931109n00
6.373349,0,0.40422976,rs931110n00
40.598896,0,0.15919627,rs931111n00
46.126316,0,0.07588246,rs931112n00
50.127113,0,0.08947632,rs931113n00
12.796897,0,0.28553492,rs931114n00
15.21264,0,0.22101736,rs931115n00
12.969822,0,0.22785781,rs931116n00
5.1347904,0,0.36965746,rs931117n00
23.388088,0,0.0993793,rs931118n00
6.530863,0,0.49508366,rs931119n00
3.1078262,0,0.74543226,rs931120n00
5.11423,0,0.3811752,rs931121n00
11.803323,0,0.22404228,rs931122n00
16.235146,0,0.22785781,rs931123n00
8.992326,0,0.2213049,rs931124n00
8.152186,0,0.34165913,rs931125n00
5.6813474,0,0.377604,rs931126n00
5.0690823,0,0.42688555,rs931127n00
5.789235,0,0.3819907,rs931128n00
24.977045,0,0.24305765,rs931129n00
37.345528,0,0.100468464,rs931130n00
20.398317,0,0.179645,rs931131n00
5.331381,0,0.36239654,rs931132n00
8.854711,0,0.28732783,rs931133n00
8.756846,0,0.255994,rs931134n00
7.2260303,0,0.3071507,rs931135n00
4.723377,0,0.56978947,rs931136n00
2.8488622,0,0.60688543,rs931137n00
9.245368,0,0.25534442,rs931138n00
4.361569,0,0.42031685,rs931139n00
14.533928,0,0.1670822,rs931140n00
20.480019,0,0.119439706,rs931141n00
11.674607,0,0.20041764,rs931142n00
8.216727,0,0.29202318,rs931143n00
9.065524,0,0.2365139,rs931144n00
3.466659,0,0.7358091,rs931145n00
6.1618204,0,0.41784036,rs931146n00
8.271842,0,0.35515627,rs931147n00
6.422566,0,0.4103039,rs931148n00
6.076706,0,0.3142548,rs931149n00
6.8884873,0,0.2880363,rs931150n00
24.876478,0,0.1739185,rs931151n00
32.897945,0,0.0981634,rs931152n00
37.31811,0,0.08867702,rs931153n00
4.501105,0,0.45192307,rs931154n00
3.4149237,0,0.7310476,rs931155n00
4.047252,2126,0.9116686,rs931201n00
4.8096485,1452,0.9089982,rs931202n00
5.5810957,0,0.47283968,rs931203n00
9.5655,0,0.19033694,rs931204n00
9.426045,0,0.49140894,rs931205n00
2.6711016,1212,0.8113322,rs931206n00
2.9541526,0,0.7895685,rs931207n00
4.172373,0,0.67721957,rs931208n00
15.8980465,0,0.14692754,rs931209n00
3.827416,0,0.6034745,rs931210n00
6.975038,0,0.44284457,rs931211n00
46.789516,0,0.06661895,rs931212n00
50.8932,0,0.062966324,rs931213n00
19.002934,0,0.17579302,rs931214n00
4.5591135,0,0.47695562,rs931215n00
18.029749,0,0.1661743,rs931216n00
7.580169,0,0.36678764,rs931217n00
4.9873033,0,0.3713927,rs931218n00
23.62967,0,0.09895526,rs931219n00
4.277684,0,0.5188782,rs931220n00
3.3484068,0,0.7394097,rs931221n00
4.73486,0,0.5471093,rs931222n00
6.226973,0,0.5581075,rs931223n00
15.206024,0,0.21960025,rs931224n00
9.147286,0,0.20664325,rs931225n00
16.078854,0,0.18545584,rs931226n00
4.141287,0,0.714824,rs931227n00
5.5393014,0,0.428036,rs931228n00
7.2531595,0,0.35071522,rs931229n00
33.013515,0,0.19599217,rs931230n00
42.467384,0,0.07889101,rs931231n00
32.088943,0,0.19526519,rs931232n00
4.294223,0,0.42412585,rs931233n00
11.411052,0,0.23130976,rs931234n00
9.07706,0,0.255104,rs931235n00
10.146702,0,0.25457537,rs931236n00
5.4642606,0,0.2930429,rs931237n00
5.3548527,0,0.37841532,rs931238n00
3.5729065,0,0.5434655,rs931239n00
9.860017,0,0.23075478,rs931240n00
4.017432,0,0.43115464,rs931241n00
11.343117,0,0.20104833,rs931242n00
23.5796,0,0.108397454,rs931243n00
12.184544,0,0.2198273,rs931244n00
8.092465,0,0.4682529,rs931245n00
6.2648873,0,0.47555897,rs931246n00
6.823362,0,0.36583233,rs931247n00
7.0638494,0,0.35765484,rs931248n00
6.7989335,0,0.3492691,rs931249n00
12.174082,0,0.32595497,rs931250n00
7.317093,0,0.36681616,rs931251n00
3.5149624,0,0.8009783,rs931252n00
5.2805448,0,0.56372136,rs931253n00
10.596179,0,0.56839937,rs931254n00
34.298832,0,0.115700245,rs931255n00
38.05143,0,0.07524444,rs931256n00
7.910028,0,0.33188355,rs931257n00
2.7324073,0,0.5716718,rs931258n00
2.700805,4149,0.9437062,rs931301n00
1.5674654,43119,0.9916122,rs931302n00
2.32376,10450,0.99993896,rs931303n00
17.699448,0,0.23551145,rs931304n00
3.1904416,102,0.8067878,rs931305n00
2.4199297,3801,0.7967812,rs931306n00
1.9387697,21179,0.99658775,rs931307n00
2.7682855,0,0.68260247,rs931308n00
8.656467,0,0.27744097,rs931309n00
14.936455,0,0.33413404,rs931310n00
3.2784913,0,0.6587107,rs931311n00
8.556901,0,0.24499412,rs931312n00
51.027256,0,0.06169199,rs931313n00
46.69094,0,0.106768884,rs931314n00
32.210358,0,0.12242659,rs931315n00
6.962095,0,0.44449827,rs931316n00
15.1810875,0,0.16176495,rs931317n00
5.008189,0,0.3685573,rs931318n00
8.435495,0,0.37031615,rs931319n00
21.628313,0,0.22704464,rs931320n00
3.325636,0,0.4741862,rs931321n00
3.6799335,0,0.47065824,rs931322n00
4.8162856,0,0.59621,rs931323n00
7.7717495,0,0.34165916,rs931324n00
13.132868,0,0.36399966,rs931325n00
6.156297,560,0.9563557,rs931326n00
3.9625647,4209,1.0,rs931327n00
3.9707823,0,0.72817177,rs931328n00
3.6078892,0,0.7304534,rs931329n00
12.657253,0,0.26926208,rs931330n00
76.07543,0,0.05104971,rs931331n00
50.071068,0,0.07309644,rs931332n00
43.83971,0,0.082600914,rs931333n00
3.780971,0,0.5023498,rs931334n00
7.2172294,0,0.44877744,rs931335n00
14.789359,0,0.24525435,rs931336n00
7.7802835,0,0.29105592,rs931337n00
8.916486,0,0.2485996,rs931338n00
7.544859,0,0.4975777,rs931339n00
5.629576,0,0.4203602,rs931340n00
4.3349094,0,0.44800916,rs931341n00
10.491307,0,0.2754272,rs931342n00
4.2529593,0,0.40347794,rs931343n00
13.7748375,0,0.18106945,rs931344n00
28.129883,0,0.09319898,rs931345n00
12.786416,0,0.22306,rs931346n00
9.956728,0,0.2739007,rs931347n00
3.239079,7503,1.0,rs931348n00
5.3806405,2972,1.0,rs931349n00
3.7619982,0,0.679756,rs931350n00
2.5243106,14951,1.0,rs931351n00
1.7366291,8875,0.97183686,rs931352n00
1.8672321,14780,0.9579338,rs931353n00
3.7773755,0,0.79619014,rs931354n00
2.7129507,0,0.7774343,rs931355n00
3.237455,0,0.7368281,rs931356n00
3.9174886,0,0.72253907,rs931357n00
8.609415,0,0.25435925,rs931358n00
55.119762,0,0.06038837,rs931359n00
43.96016,0,0.08494612,rs931360n00
4.005237,0,0.56821173,rs931361n00
2.560333,0,0.54121494,rs931401n00
9.423335,0,0.34008136,rs931402n00
2.6783156,16289,0.9810761,rs931403n00
7.1349387,0,0.40570572,rs931404n00
2.9446003,0,0.79579645,rs931405n00
2.5371153,134,0.801523,rs931406n00
1.884722,33820,1.0,rs931407n00
3.0480149,2104,0.97118455,rs931408n00
2.8165014,0,0.66494757,rs931409n00
10.50393,0,0.21681489,rs931410n00
9.600923,0,0.24831422,rs931411n00
4.20797,0,0.4705922,rs931412n00
20.024632,0,0.12954602,rs931413n00
41.86249,0,0.075226836,rs931414n00
42.213024,0,0.09130876,rs931415n00
48.604782,0,0.05920383,rs931416n00
24.260347,0,0.10399084,rs931417n00
47.581055,0,0.088514246,rs931418n00
4.872552,0,0.4542106,rs931419n00
3.470714,0,0.7095083,rs931420n00
1.9903549,150,0.833324,rs931421n00
2.5748374,0,0.7880549,rs931422n00
1.3925595,59081,1.0,rs931423n00
1.9905522,21992,0.9410006,rs931424n00
3.4512088,4924,0.94977826,rs931425n00
2.724392,12020,0.984676,rs931426n00
1.8790262,38427,1.0,rs931427n00
1.8774716,24369,1.0,rs931428n00
6.2130136,0,0.6438157,rs931429n00
5.6502104,0,0.27413774,rs931430n00
73.42444,0,0.05150505,rs931431n00
71.94729,0,0.051218297,rs931432n00
42.479885,0,0.07522684,rs931433n00
10.972599,0,0.24768193,rs931434n00
2.653961,0,0.6128667,rs931435n00
10.038872,0,0.26423207,rs931436n00
11.563135,0,0.23892169,rs931437n00
7.1552954,0,0.30079395,rs931438n00
8.931655,0,0.19661835,rs931439n00
2.990724,13412,1.0,rs931440n00
4.3180695,0,0.7786402,rs931441n00
4.152439,0,0.45679677,rs931442n00
3.9619029,0,0.72794384,rs931443n00
3.121486,0,0.81043154,rs931444n00
3.8973184,0,0.87111694,rs931445n00
19.822731,0,0.16145611,rs931446n00
3.0988805,458,0.8776036,rs931447n00
2.2126005,361,0.8766359,rs931448n00
4.242555,1412,0.9531488,rs931449n00
1.2773615,62759,1.0,rs931450n00
5.9419074,0,0.5737477,rs931451n00
2.3151329,21095,1.0,rs931452n00
1.4159585,53870,1.0,rs931453n00
1.5983522,27050,0.98714334,rs931454n00
1.8856101,16053,0.9946431,rs931455n00
5.740145,0,0.5178692,rs931456n00
2.0942807,11299,0.92888886,rs931457n00
4.956037,924,0.8140397,rs931458n00
5.8953295,0,0.36398453,rs931459n00
11.400149,0,0.20789632,rs931460n00
46.148285,0,0.07062456,rs931461n00
32.638077,0,0.092433594,rs931462n00
6.561755,0,0.3542601,rs931463n00
3.1251936,0,0.6066587,rs931501n00
3.4474566,0,0.7519181,rs931502n00
4.193883,5447,0.9811355,rs931503n00
2.8011777,6794,0.8912586,rs931504n00
6.7511144,0,0.37496066,rs931505n00
4.285881,0,0.51094,rs931506n00
5.004918,6029,0.94873476,rs931507n00
1.6970593,37807,1.0,rs931508n00
3.4307013,0,0.66127557,rs931509n00
6.453406,0,0.32093045,rs931510n00
11.077955,0,0.2336044,rs931511n00
3.2716324,0,0.46621624,rs931512n00
5.93217,0,0.26616174,rs931513n00
24.68206,0,0.1321022,rs931514n00
44.003494,0,0.06765937,rs931515n00
32.146496,0,0.10890387,rs931516n00
46.407207,0,0.06738113,rs931517n00
80.03884,0,0.063829094,rs931518n00
5.2291937,0,0.3780095,rs931519n00
3.1206558,0,0.5112075,rs931520n00
1.8284053,529,0.8256122,rs931521n00
2.76147,0,0.7435215,rs931522n00
1.8089373,41371,1.0,rs931523n00
3.0252604,11480,1.0,rs931524n00
11.2367325,0,0.31779608,rs931525n00
6.8723764,0,0.40757763,rs931526n00
3.301769,0,0.6044069,rs931527n00
1.873301,27517,0.9424387,rs931528n00
1.060276,111153,1.0,rs931529n00
3.576719,339,0.8420328,rs931530n00
79.3014,0,0.04579983,rs931531n00
80.05707,0,0.04839456,rs931532n00
49.395653,0,0.06793775,rs931533n00
22.016071,0,0.20791093,rs931534n00
2.4856374,0,0.7696525,rs931535n00
6.214763,0,0.5267094,rs931536n00
12.157665,0,0.24100973,rs931537n00
5.9171915,0,0.33015344,rs931538n00
11.622941,0,0.19709924,rs931539n00
15.816751,0,0.35116076,rs931540n00
2.92216,12369,1.0,rs931541n00
3.7109597,0,0.49583438,rs931542n00
29.850252,0,0.1493765,rs931543n00
3.1458297,0,0.7368742,rs931544n00
3.5485659,0,0.7958456,rs931545n00
4.702188,7,0.843691,rs931546n00
27.785177,0,0.12329236,rs931547n00
2.1053503,2486,0.8824577,rs931548n00
4.379287,0,0.63842285,rs931549n00
10.608146,0,0.2992724,rs931550n00
3.0721781,1485,0.8783571,rs931551n00
10.532312,0,0.27858746,rs931552n00
4.3589797,0,0.45867738,rs931553n00
5.3270082,0,0.35110503,rs931554n00
9.934565,0,0.3719514,rs931555n00
20.454517,0,0.181474,rs931556n00
9.982998,0,0.21177492,rs931557n00
4.0973325,1212,0.84868395,rs931558n00
5.344965,0,0.67135096,rs931559n00
6.35504,0,0.39420885,rs931560n00
14.811787,0,0.31312242,rs931561n00
14.695199,0,0.14941682,rs931562n00
32.01551,0,0.11253716,rs931563n00
60.984207,0,0.07605911,rs931564n00
5.546055,0,0.4623555,rs931601n00
2.0050426,0,0.8073857,rs931602n00
9.649767,0,0.40259406,rs931603n00
7.1277013,0,0.3398487,rs931604n00
6.007981,0,0.35650265,rs931605n00
2.854849,0,0.6017891,rs931606n00
4.788158,0,0.42217878,rs931607n00
1.8549106,44890,1.0,rs931608n00
4.2585773,0,0.5820297,rs931609n00
5.5158973,0,0.38196158,rs931610n00
20.82373,0,0.17249644,rs931611n00
4.4235115,0,0.41719648,rs931612n00
6.3898554,0,0.25057724,rs931613n00
21.98436,0,0.14103146,rs931614n00
24.397814,0,0.10990293,rs931615n00
38.36079,0,0.12954602,rs931616n00
38.90028,0,0.088984504,rs931617n00
25.087261,0,0.22053152,rs931618n00
5.1628733,0,0.4156226,rs931619n00
5.479278,0,0.46697113,rs931620n00
5.9430623,0,0.5814189,rs931621n00
2.1539965,7325,0.85066783,rs931622n00
6.6026483,0,0.59527755,rs931623n00
8.174757,0,0.27401388,rs931624n00
20.849432,0,0.22743537,rs931625n00
8.5569725,0,0.40269685,rs931626n00
4.616347,0,0.48287097,rs931627n00
6.3461733,1,0.80454355,rs931628n00
1.9553851,32787,1.0,rs931629n00
6.6660953,183,0.8434793,rs931630n00
77.84602,0,0.046133693,rs931631n00
43.082294,0,0.09871573,rs931632n00
25.229641,0,0.12578163,rs931633n00
4.8228874,0,0.6802297,rs931634n00
2.4498587,0,0.75280845,rs931635n00
9.595048,0,0.39779028,rs931636n00
9.010698,0,0.26170078,rs931637n00
5.937048,0,0.40730566,rs931638n00
9.100894,0,0.36674383,rs931639n00
9.898337,0,0.28491598,rs931640n00
4.761288,0,0.4296871,rs931641n00
3.4116063,0,0.5273498,rs931642n00
45.349907,0,0.06568016,rs931643n00
14.780333,0,0.14569932,rs931644n00
9.576533,0,0.26955712,rs931645n00
49.98141,0,0.0592894,rs931646n00
15.654013,0,0.18258263,rs931647n00
6.726328,0,0.46874648,rs931648n00
14.357574,0,0.18102689,rs931649n00
16.647108,0,0.1875113,rs931650n00
5.2863803,0,0.4878758,rs931651n00
6.99499,0,0.48384464,rs931652n00
4.115757,0,0.48545915,rs931653n00
5.2714496,0,0.4572502,rs931654n00
7.0338554,0,0.4262209,rs931655n00
15.281383,0,0.17509729,rs931656n00
10.111528,0,0.32098368,rs931657n00
